time,month,temperature
1886,sep,11.24
1886,oct,6.04
1886,nov,0.56
1886,dec,-3.82
1887,jan,-5.76
1887,feb,-4.93
1887,mar,-2.2
1887,apr,2.47
1887,may,4.55
1887,jun,11.89
1887,jul,14.59
1887,aug,12.08
1887,sep,8.27
1887,oct,0.75
1887,nov,-0.77
1887,dec,-5.41
1888,jan,-5.32
1888,feb,-5.26
1888,mar,-2.34
1888,apr,0.99
1888,may,8.05
1888,jun,10.8
1888,jul,10.02
1888,aug,10.81
1888,sep,9.45
1888,oct,2.39
1888,nov,1.16
1888,dec,-1.85
1889,jan,-4.78
1889,feb,-6.14
1889,mar,-3.6
1889,apr,1.32
1889,may,8.49
1889,jun,11.67
1889,jul,11.69
1889,aug,11.08
1889,sep,7.48
1889,oct,3.86
1889,nov,0.66
1889,dec,-5.47
1890,jan,-1.3
1890,feb,-5.66
1890,mar,-0.78
1890,apr,2.3
1890,may,7.95
1890,jun,9.53
1890,jul,10.72
1890,aug,11.45
1890,sep,8.27
1890,oct,2.97
1890,nov,-0.96
1890,dec,-6.74
1891,jan,-8.52
1891,feb,-4.02
1891,mar,-1.61
1891,apr,0.49
1891,may,6.76
1891,jun,10.47
1891,jul,11.27
1891,aug,10.57
1891,sep,9.82
1891,oct,5.89
1891,nov,-0.24
1891,dec,-1.93
1892,jan,-4.41
1892,feb,-2.62
1892,mar,-3.41
1892,apr,3.22
1892,may,7.32
1892,jun,10.89
1892,jul,12.04
1892,aug,13.38
1892,sep,9.76
1892,oct,3.8
1892,nov,2.08
1892,dec,-4.81
1893,jan,-8.48
1893,feb,-2.44
1893,mar,0.74
1893,apr,6.33
1893,may,6.99
1893,jun,10.81
1893,jul,12.32
1893,aug,13.31
1893,sep,9.25
1893,oct,6.37
1893,nov,-0.69
1893,dec,-3.32
1894,jan,-5.06
1894,feb,-2.61
1894,mar,-0.11
1894,apr,4.96
1894,may,6.39
1894,jun,9.93
1894,jul,13.03
1894,aug,11.73
1894,sep,7.84
1894,oct,4.48
1894,nov,1.66
1894,dec,-3.99
1895,jan,-8.66
1895,feb,-9.26
1895,mar,-2.18
1895,apr,4.17
1895,may,6.87
1895,jun,10.52
1895,jul,13.24
1895,aug,11.98
1895,sep,12.61
1895,oct,4.0
1895,nov,3.39
1895,dec,-2.53
1896,jan,-4.49
1896,feb,-2.83
1896,mar,1.34
1896,apr,0.57
1896,may,5.51
1896,jun,10.47
1896,jul,12.78
1896,aug,9.25
1896,sep,8.27
1896,oct,3.46
1896,nov,-1.62
1896,dec,-3.01
1897,jan,-4.76
1897,feb,0.07
1897,mar,1.44
1897,apr,2.95
1897,may,5.48
1897,jun,12.35
1897,jul,13.05
1897,aug,12.25
1897,sep,7.98
1897,oct,3.99
1897,nov,1.38
1897,dec,-2.69
1898,jan,-0.76
1898,feb,-3.54
1898,mar,-1.05
1898,apr,3.41
1898,may,6.12
1898,jun,9.44
1898,jul,11.24
1898,aug,13.91
1898,sep,11.38
1898,oct,6.47
1898,nov,2.49
1898,dec,-2.27
1899,jan,-1.6
1899,feb,-0.56
1899,mar,-0.14
1899,apr,2.39
1899,may,6.21
1899,jun,10.47
1899,jul,12.49
1899,aug,13.6
1899,sep,8.66
1899,oct,6.37
1899,nov,2.06
1899,dec,-4.63
1900,jan,-3.03
1900,feb,-0.99
1900,mar,-4.08
1900,apr,1.97
1900,may,6.33
1900,jun,11.52
1900,jul,13.97
1900,aug,11.3
1900,sep,11.29
1900,oct,5.52
1900,nov,0.87
1900,dec,-0.61
1901,jan,-4.7
1901,feb,-8.75
1901,mar,-2.62
1901,apr,3.41
1901,may,7.5
1901,jun,11.32
1901,jul,12.92
1901,aug,11.85
1901,sep,9.58
1901,oct,4.55
1901,nov,-1.4
1901,dec,-2.81
1902,jan,-2.53
1902,feb,-3.1
1902,mar,-0.38
1902,apr,5.13
1902,may,3.09
1902,jun,9.47
1902,jul,13.1
1902,aug,11.5
1902,sep,9.12
1902,oct,4.03
1902,nov,-0.06
1902,dec,-3.35
1903,jan,-3.55
1903,feb,-0.81
1903,mar,0.52
1903,apr,-0.51
1903,may,7.11
1903,jun,9.44
1903,jul,11.35
1903,aug,12.2
1903,sep,9.4
1903,oct,5.51
1903,nov,0.1
1903,dec,-3.92
1904,jan,-4.25
1904,feb,-3.13
1904,mar,-0.59
1904,apr,4.65
1904,may,8.56
1904,jun,11.73
1904,jul,15.13
1904,aug,13.21
1904,sep,7.38
1904,oct,4.95
1904,nov,-0.62
1904,dec,-2.02
1905,jan,-6.29
1905,feb,-4.01
1905,mar,0.11
1905,apr,2.91
1905,may,5.97
1905,jun,11.17
1905,jul,15.07
1905,aug,12.15
1905,sep,9.44
1905,oct,-0.3
1905,nov,-0.89
1905,dec,-2.44
1906,jan,-3.61
1906,feb,-5.08
1906,mar,-1.59
1906,apr,2.25
1906,may,7.36
1906,jun,10.06
1906,jul,12.94
1906,aug,13.42
1906,sep,8.71
1906,oct,7.05
1906,nov,1.68
1906,dec,-6.43
1907,jan,-4.66
1907,feb,-5.94
1907,mar,-2.06
1907,apr,1.24
1907,may,7.76
1907,jun,10.46
1907,jul,10.69
1907,aug,13.0
1907,sep,10.3
1907,oct,6.09
1907,nov,1.56
1907,dec,-1.46
1908,jan,-4.25
1908,feb,-3.65
1908,mar,-2.45
1908,apr,0.66
1908,may,9.06
1908,jun,12.35
1908,jul,12.13
1908,aug,10.84
1908,sep,8.55
1908,oct,5.86
1908,nov,-0.37
1908,dec,-3.44
1909,jan,-5.39
1909,feb,-6.45
1909,mar,-3.05
1909,apr,4.5
1909,may,6.75
1909,jun,8.67
1909,jul,10.38
1909,aug,11.81
1909,sep,8.2
1909,oct,6.06
1909,nov,-1.58
1909,dec,-1.46
1910,jan,-3.25
1910,feb,-2.93
1910,mar,-0.59
1910,apr,2.07
1910,may,5.62
1910,jun,10.73
1910,jul,10.39
1910,aug,11.43
1910,sep,7.06
1910,oct,5.87
1910,nov,-1.43
1910,dec,-0.86
1911,jan,-5.5
1911,feb,-3.07
1911,mar,-0.64
1911,apr,2.01
1911,may,7.35
1911,jun,10.14
1911,jul,15.26
1911,aug,15.27
1911,sep,11.23
1911,oct,5.08
1911,nov,1.82
1911,dec,-0.86
1912,jan,-2.27
1912,feb,0.1
1912,mar,1.47
1912,apr,1.81
1912,may,8.05
1912,jun,10.5
1912,jul,11.98
1912,aug,9.07
1912,sep,4.38
1912,oct,3.7
1912,nov,-2.52
1912,dec,-1.11
1913,jan,-2.12
1913,feb,-3.16
1913,mar,1.73
1913,apr,2.49
1913,may,6.95
1913,jun,10.13
1913,jul,9.55
1913,aug,11.2
1913,sep,8.53
1913,oct,6.57
1913,nov,2.69
1913,dec,-2.83
1914,jan,-6.53
1914,feb,-0.48
1914,mar,-0.01
1914,apr,5.17
1914,may,5.72
1914,jun,9.16
1914,jul,10.9
1914,aug,12.26
1914,sep,8.54
1914,oct,4.34
1914,nov,-0.66
1914,dec,-1.13
1915,jan,-4.72
1915,feb,-3.81
1915,mar,-1.52
1915,apr,1.75
1915,may,9.56
1915,jun,12.38
1915,jul,11.83
1915,aug,10.92
1915,sep,7.7
1915,oct,2.48
1915,nov,-2.16
1915,dec,0.77
1916,jan,-0.96
1916,feb,-2.63
1916,mar,-0.05
1916,apr,3.09
1916,may,8.05
1916,jun,8.33
1916,jul,11.57
1916,aug,11.69
1916,sep,7.25
1916,oct,4.75
1916,nov,0.37
1916,dec,-1.93
1917,jan,-6.13
1917,feb,-5.2
1917,mar,-2.82
1917,apr,-0.45
1917,may,9.97
1917,jun,12.63
1917,jul,12.5
1917,aug,11.43
1917,sep,11.5
1917,oct,2.52
1917,nov,-0.14
1917,dec,-6.28
1918,jan,-2.8
1918,feb,-2.29
1918,mar,-0.57
1918,apr,3.08
1918,may,8.66
1918,jun,8.38
1918,jul,12.43
1918,aug,11.94
1918,sep,9.81
1918,oct,3.37
1918,nov,0.3
1918,dec,-0.36
1919,jan,-4.09
1919,feb,-4.03
1919,mar,-0.88
1919,apr,0.36
1919,may,6.77
1919,jun,10.88
1919,jul,9.43
1919,aug,13.93
1919,sep,11.09
1919,oct,1.24
1919,nov,-2.15
1919,dec,-2.29
1920,jan,-1.04
1920,feb,-0.67
1920,mar,1.92
1920,apr,3.62
1920,may,10.11
1920,jun,10.36
1920,jul,12.56
1920,aug,10.57
1920,sep,9.39
1920,oct,5.49
1920,nov,0.82
1920,dec,-2.37
1921,jan,-0.48
1921,feb,-3.03
1921,mar,1.08
1921,apr,2.04
1921,may,8.74
1921,jun,11.01
1921,jul,15.08
1921,aug,12.58
1921,sep,11.28
1921,oct,8.1
1921,nov,-1.45
1921,dec,-2.15
1922,jan,-4.77
1922,feb,-2.71
1922,mar,0.51
1922,apr,1.19
1922,may,9.49
1922,jun,11.2
1922,jul,11.3
1922,aug,12.25
